id,task,tenant,status,mode,budget_json,policy_json,started_at,ended_at,cost_cents_x,latency_ms,reward,run_id,confidence,cost_cents_y,tools_json,agent,eco_min_score,culture_check
run_000,dynamic_pricing,tenant_b,succeeded,fast,"{'max_latency_ms': 1005, 'max_cost_cents': 12}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-07 11:02:07.734363,2025-09-07 11:28:03.734363,7.81,2172,0.07,run_000,0.6699999999999999,3.17,"[{'name': 'TrendAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 120}, {'name': 'ElasticityAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 326}, {'name': 'DemandAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 164}]","['TrendAgent', 'ElasticityAgent', 'DemandAgent']",0.7,True
run_001,design_recommendation,tenant_a,succeeded,fast,"{'max_latency_ms': 1607, 'max_cost_cents': 5}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-18 11:02:07.734363,2025-09-18 11:12:37.734363,2.34,1395,0.38,run_001,0.71,1.6600000000000001,"[{'name': 'DemandAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 345}, {'name': 'TrendAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 448}]","['DemandAgent', 'TrendAgent']",0.7,True
run_002,design_recommendation,tenant_c,succeeded,fast,"{'max_latency_ms': 1933, 'max_cost_cents': 14}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-26 11:02:07.735092,2025-09-26 11:26:58.735092,7.93,2172,0.11,run_002,0.63,2.2800000000000002,"[{'name': 'StylistAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 260}, {'name': 'ReturnRiskAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 400}]","['StylistAgent', 'ReturnRiskAgent']",0.7,True
run_003,dynamic_pricing,tenant_a,succeeded,fast,"{'max_latency_ms': 2709, 'max_cost_cents': 13}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-28 11:02:07.735092,2025-09-28 11:16:02.735092,7.0,695,0.25,run_003,0.8049999999999999,5.72,"[{'name': 'AggregatorTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 467}, {'name': 'TrendAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 271}, {'name': 'TrendAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 332}, {'name': 'ReturnRiskAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 459}]","['Aggregator', 'TrendAgent', 'ReturnRiskAgent']",0.7,True
run_004,dynamic_pricing,tenant_b,succeeded,thorough,"{'max_latency_ms': 1933, 'max_cost_cents': 5}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-09 11:02:07.735092,2025-09-09 11:12:54.735092,5.64,1191,0.72,run_004,0.7833333333333333,3.17,"[{'name': 'TrendAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 434}, {'name': 'ElasticityAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 489}, {'name': 'TrendAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 239}]","['TrendAgent', 'ElasticityAgent']",0.7,True
run_005,personalized_outfit,tenant_d,succeeded,thorough,"{'max_latency_ms': 1404, 'max_cost_cents': 10}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-18 11:02:07.735092,2025-09-18 11:06:59.735092,8.33,1601,0.09,run_005,0.656,6.77,"[{'name': 'TrendAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 414}, {'name': 'PersonaAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 294}, {'name': 'EcoAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 116}, {'name': 'DemandAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 314}, {'name': 'EcoAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 461}]","['TrendAgent', 'PersonaAgent', 'EcoAgent', 'DemandAgent']",0.7,True
run_006,design_recommendation,tenant_c,succeeded,thorough,"{'max_latency_ms': 2024, 'max_cost_cents': 14}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-19 11:02:07.735092,2025-09-19 11:24:23.735092,9.71,1981,0.01,run_006,0.696,6.98,"[{'name': 'TrendAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 329}, {'name': 'PersonaAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 392}, {'name': 'StylistAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 439}, {'name': 'CultureAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 111}, {'name': 'AggregatorTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 323}]","['TrendAgent', 'PersonaAgent', 'StylistAgent', 'CultureAgent', 'Aggregator']",0.7,True
run_007,dynamic_pricing,tenant_c,succeeded,thorough,"{'max_latency_ms': 1732, 'max_cost_cents': 14}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-24 11:02:07.735092,2025-09-24 11:17:27.735092,8.15,1547,0.39,run_007,0.76,6.02,"[{'name': 'StylistAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 249}, {'name': 'ElasticityAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 325}, {'name': 'AggregatorTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 352}, {'name': 'TrendAgentTool.search', 'args': {'tags': ['streetwear']}, 'latency_ms': 492}]","['StylistAgent', 'ElasticityAgent', 'Aggregator', 'TrendAgent']",0.7,True
run_008,dynamic_pricing,tenant_c,succeeded,fast,"{'max_latency_ms': 2574, 'max_cost_cents': 14}","{'eco_min_score': 0.7, 'culture_check': True}",2025-09-02 11:02:07.735092,2025-09-02 11:20:36.735092,2.47,2382,0.15,run_008,0.6175,4.65,"[{'name': 'DemandAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 154}, {'name': 'ReturnRiskAgentTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 454}, {'name': 'ElasticityAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 259}, {'name': 'AggregatorTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 210}]","['DemandAgent', 'ReturnRiskAgent', 'ElasticityAgent', 'Aggregator']",0.7,True
run_009,personalized_outfit,tenant_b,succeeded,thorough,"{'max_latency_ms': 1256, 'max_cost_cents': 9}","{'eco_min_score': 0.7, 'culture_check': True}",2025-10-01 11:02:07.735092,2025-10-01 11:12:45.735092,9.75,1895,0.0,run_009,0.735,3.7800000000000002,"[{'name': 'DemandAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 330}, {'name': 'ElasticityAgentTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 331}, {'name': 'AggregatorTool.search', 'args': {'tags': ['sustainable']}, 'latency_ms': 397}, {'name': 'AggregatorTool.search', 'args': {'tags': ['neon']}, 'latency_ms': 368}]","['DemandAgent', 'ElasticityAgent', 'Aggregator']",0.7,True
