id,task,tenant,status,mode,budget_json,policy_json,started_at,ended_at,cost_cents,latency_ms,reward
run_000,dynamic_pricing,tenant_b,succeeded,fast,"{""max_latency_ms"": 1005, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-07 11:02:07.734363,2025-09-07 11:28:03.734363,7.81,2172,0.07
run_001,design_recommendation,tenant_a,succeeded,fast,"{""max_latency_ms"": 1607, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-18 11:02:07.734363,2025-09-18 11:12:37.734363,2.34,1395,0.38
run_002,design_recommendation,tenant_c,succeeded,fast,"{""max_latency_ms"": 1933, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.735092,2025-09-26 11:26:58.735092,7.93,2172,0.11
run_003,dynamic_pricing,tenant_a,succeeded,fast,"{""max_latency_ms"": 2709, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-28 11:02:07.735092,2025-09-28 11:16:02.735092,7.0,695,0.25
run_004,dynamic_pricing,tenant_b,succeeded,thorough,"{""max_latency_ms"": 1933, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-09 11:02:07.735092,2025-09-09 11:12:54.735092,5.64,1191,0.72
run_005,personalized_outfit,tenant_d,succeeded,thorough,"{""max_latency_ms"": 1404, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-18 11:02:07.735092,2025-09-18 11:06:59.735092,8.33,1601,0.09
run_006,design_recommendation,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2024, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-19 11:02:07.735092,2025-09-19 11:24:23.735092,9.71,1981,0.01
run_007,dynamic_pricing,tenant_c,succeeded,thorough,"{""max_latency_ms"": 1732, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-24 11:02:07.735092,2025-09-24 11:17:27.735092,8.15,1547,0.39
run_008,dynamic_pricing,tenant_c,succeeded,fast,"{""max_latency_ms"": 2574, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-02 11:02:07.735092,2025-09-02 11:20:36.735092,2.47,2382,0.15
run_009,personalized_outfit,tenant_b,succeeded,thorough,"{""max_latency_ms"": 1256, ""max_cost_cents"": 9}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-10-01 11:02:07.735092,2025-10-01 11:12:45.735092,9.75,1895,0.0
run_010,dynamic_pricing,tenant_a,succeeded,thorough,"{""max_latency_ms"": 1024, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.735092,2025-09-26 11:31:47.735092,7.27,930,0.42
run_011,personalized_outfit,tenant_d,failed,thorough,"{""max_latency_ms"": 2824, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-27 11:02:07.735092,2025-09-27 11:29:05.735092,1.43,2077,0.4
run_012,personalized_outfit,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2573, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-02 11:02:07.735092,2025-09-02 11:08:53.735092,3.49,2367,0.47
run_013,design_recommendation,tenant_c,failed,fast,"{""max_latency_ms"": 2605, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-14 11:02:07.735092,2025-09-14 11:09:54.735092,9.66,1651,0.0
run_014,dynamic_pricing,tenant_b,succeeded,fast,"{""max_latency_ms"": 1222, ""max_cost_cents"": 9}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-27 11:02:07.735092,2025-09-27 11:27:01.735092,6.41,1169,0.2
run_015,personalized_outfit,tenant_d,succeeded,thorough,"{""max_latency_ms"": 2875, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-24 11:02:07.736091,2025-09-24 11:19:51.736091,7.35,1575,0.18
run_016,dynamic_pricing,tenant_d,succeeded,fast,"{""max_latency_ms"": 1806, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-24 11:02:07.736091,2025-09-24 11:29:00.736091,5.84,2214,0.05
run_017,dynamic_pricing,tenant_c,succeeded,fast,"{""max_latency_ms"": 1443, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-06 11:02:07.736091,2025-09-06 11:07:42.736091,5.3,2056,0.42
run_018,design_recommendation,tenant_b,succeeded,fast,"{""max_latency_ms"": 1735, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-19 11:02:07.736091,2025-09-19 11:29:54.736091,2.57,1001,0.62
run_019,design_recommendation,tenant_d,succeeded,fast,"{""max_latency_ms"": 1424, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-10 11:02:07.736091,2025-09-10 11:28:42.736091,8.26,944,0.45
run_020,personalized_outfit,tenant_a,succeeded,thorough,"{""max_latency_ms"": 2303, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.736091,2025-09-25 11:08:50.736091,1.55,2110,0.26
run_021,personalized_outfit,tenant_d,succeeded,fast,"{""max_latency_ms"": 2485, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-12 11:02:07.736091,2025-09-12 11:13:44.736091,7.74,630,0.42
run_022,dynamic_pricing,tenant_a,succeeded,fast,"{""max_latency_ms"": 2146, ""max_cost_cents"": 9}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-18 11:02:07.736091,2025-09-18 11:18:10.736091,9.23,528,0.45
run_023,personalized_outfit,tenant_d,failed,thorough,"{""max_latency_ms"": 2965, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-17 11:02:07.736091,2025-09-17 11:30:17.736091,3.02,1628,0.35
run_024,personalized_outfit,tenant_b,failed,fast,"{""max_latency_ms"": 1946, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-08 11:02:07.736091,2025-09-08 11:31:46.736091,6.66,1549,0.23
run_025,design_recommendation,tenant_a,succeeded,thorough,"{""max_latency_ms"": 2508, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-09 11:02:07.736091,2025-09-09 11:15:32.736091,2.02,2337,0.22
run_026,personalized_outfit,tenant_c,succeeded,fast,"{""max_latency_ms"": 1592, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-17 11:02:07.736091,2025-09-17 11:12:09.736091,4.0,707,0.78
run_027,design_recommendation,tenant_b,succeeded,thorough,"{""max_latency_ms"": 2142, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-10 11:02:07.736091,2025-09-10 11:21:43.736091,8.18,1362,0.39
run_028,dynamic_pricing,tenant_c,succeeded,fast,"{""max_latency_ms"": 2979, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-07 11:02:07.736091,2025-09-07 11:05:16.736091,1.27,860,0.83
run_029,design_recommendation,tenant_d,succeeded,fast,"{""max_latency_ms"": 1656, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-12 11:02:07.736091,2025-09-12 11:31:02.736091,5.77,625,0.64
run_030,dynamic_pricing,tenant_c,failed,fast,"{""max_latency_ms"": 1123, ""max_cost_cents"": 8}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-02 11:02:07.737092,2025-09-02 11:07:34.737092,4.73,1384,0.4
run_031,design_recommendation,tenant_a,succeeded,fast,"{""max_latency_ms"": 1773, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-05 11:02:07.737241,2025-09-05 11:33:28.737241,2.81,1579,0.78
run_032,personalized_outfit,tenant_a,succeeded,thorough,"{""max_latency_ms"": 2877, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.737241,2025-09-25 11:31:56.737241,7.61,2107,0.0
run_033,dynamic_pricing,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2304, ""max_cost_cents"": 9}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-07 11:02:07.737241,2025-09-07 11:22:20.737241,6.99,1696,0.34
run_034,dynamic_pricing,tenant_a,succeeded,fast,"{""max_latency_ms"": 1871, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-09 11:02:07.737241,2025-09-09 11:13:25.737241,6.15,1816,0.22
run_035,design_recommendation,tenant_b,succeeded,fast,"{""max_latency_ms"": 2038, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.737241,2025-09-26 11:09:27.737241,2.5,1069,0.31
run_036,design_recommendation,tenant_c,failed,thorough,"{""max_latency_ms"": 1580, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-28 11:02:07.737241,2025-09-28 11:12:53.737241,1.93,1616,0.31
run_037,dynamic_pricing,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2782, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.737241,2025-09-26 11:10:02.737241,3.87,2290,0.31
run_038,design_recommendation,tenant_a,succeeded,fast,"{""max_latency_ms"": 2753, ""max_cost_cents"": 10}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-11 11:02:07.737241,2025-09-11 11:22:28.737241,8.68,1359,0.13
run_039,dynamic_pricing,tenant_d,succeeded,thorough,"{""max_latency_ms"": 2658, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-05 11:02:07.738093,2025-09-05 11:23:03.738093,9.83,1747,0.4
run_040,personalized_outfit,tenant_d,succeeded,fast,"{""max_latency_ms"": 2585, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-24 11:02:07.738093,2025-09-24 11:17:20.738093,4.18,698,0.63
run_041,personalized_outfit,tenant_b,succeeded,thorough,"{""max_latency_ms"": 2750, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-10-01 11:02:07.738093,2025-10-01 11:26:29.738093,3.22,2163,0.07
run_042,personalized_outfit,tenant_a,succeeded,thorough,"{""max_latency_ms"": 2842, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-07 11:02:07.738093,2025-09-07 11:12:43.738093,2.93,1162,0.55
run_043,personalized_outfit,tenant_c,succeeded,thorough,"{""max_latency_ms"": 1795, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-28 11:02:07.738093,2025-09-28 11:12:09.738093,2.42,2318,0.28
run_044,personalized_outfit,tenant_b,succeeded,thorough,"{""max_latency_ms"": 2605, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-19 11:02:07.738093,2025-09-19 11:34:36.738093,8.65,1820,0.24
run_045,design_recommendation,tenant_a,failed,fast,"{""max_latency_ms"": 2705, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-16 11:02:07.738093,2025-09-16 11:19:23.738093,2.54,1795,0.29
run_046,dynamic_pricing,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2002, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-24 11:02:07.739089,2025-09-24 11:13:20.739089,8.37,1069,0.31
run_047,design_recommendation,tenant_b,succeeded,thorough,"{""max_latency_ms"": 3000, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-05 11:02:07.739089,2025-09-05 11:31:44.739089,5.23,1017,0.41
run_048,personalized_outfit,tenant_a,failed,thorough,"{""max_latency_ms"": 1460, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-03 11:02:07.739306,2025-09-03 11:28:04.739306,9.86,2383,0.0
run_049,dynamic_pricing,tenant_d,failed,fast,"{""max_latency_ms"": 1285, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-22 11:02:07.739306,2025-09-22 11:03:48.739306,6.68,703,0.4
run_050,dynamic_pricing,tenant_d,succeeded,thorough,"{""max_latency_ms"": 2844, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-19 11:02:07.739306,2025-09-19 11:18:51.739306,3.22,593,0.43
run_051,personalized_outfit,tenant_a,failed,thorough,"{""max_latency_ms"": 1524, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-29 11:02:07.740098,2025-09-29 11:25:51.740098,9.17,1776,0.33
run_052,dynamic_pricing,tenant_a,succeeded,fast,"{""max_latency_ms"": 2318, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-15 11:02:07.740951,2025-09-15 11:32:31.740951,3.6,985,0.44
run_053,personalized_outfit,tenant_c,failed,fast,"{""max_latency_ms"": 2806, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.740951,2025-09-25 11:19:12.740951,4.81,1776,0.39
run_054,personalized_outfit,tenant_b,succeeded,thorough,"{""max_latency_ms"": 1998, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-06 11:02:07.740951,2025-09-06 11:10:21.740951,2.47,2217,0.26
run_055,design_recommendation,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2710, ""max_cost_cents"": 13}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-20 11:02:07.741932,2025-09-20 11:16:05.741932,7.13,2122,0.11
run_056,personalized_outfit,tenant_d,succeeded,fast,"{""max_latency_ms"": 2765, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-22 11:02:07.741932,2025-09-22 11:04:32.741932,4.79,1194,0.51
run_057,personalized_outfit,tenant_a,failed,fast,"{""max_latency_ms"": 2672, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-04 11:02:07.741932,2025-09-04 11:11:00.741932,2.6,2367,0.26
run_058,personalized_outfit,tenant_a,succeeded,fast,"{""max_latency_ms"": 2390, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-10-01 11:02:07.741932,2025-10-01 11:28:40.741932,2.72,2211,0.62
run_059,personalized_outfit,tenant_b,succeeded,fast,"{""max_latency_ms"": 1220, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-10-01 11:02:07.742394,2025-10-01 11:14:09.742394,3.0,1313,0.68
run_060,design_recommendation,tenant_a,succeeded,fast,"{""max_latency_ms"": 2374, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-02 11:02:07.742394,2025-09-02 11:31:38.742394,4.04,760,0.47
