step_id,latency_ms,queue_time,attempt,parallel_group_id,workflow,tenant,version,risk,sla_ms,critical_path_ms,started_at,sla_breach_risk
step_0000,707,172,0,46,designer_collection,LuxDesign,v1.0,watch,13612,9909,2025-10-09 06:15:48,1
step_0001,453,708,1,0,designer_collection,AcmeFashion,v3.0,watch,12133,7580,2025-09-16 05:21:52,0
step_0002,786,74,0,34,sustainability_audit,TrendyRetail,v3.0,ok,9440,7757,2025-10-19 13:23:36,0
step_0003,1452,555,0,47,designer_collection,GlobalFactory,v2.0,ok,12132,10273,2025-10-15 19:36:27,1
step_0004,424,613,1,7,designer_collection,EcoWear,v1.0,ok,11700,8289,2025-10-10 03:27:21,0
step_0005,424,170,1,0,retail_storefront,GlobalFactory,v2.0,watch,12014,10158,2025-09-18 15:59:53,0
step_0006,1510,347,0,4,production_forecast,EcoWear,v2.0,at_risk,10373,8071,2025-09-07 09:46:47,0
step_0007,855,1228,1,8,production_forecast,GlobalFactory,v2.0,ok,12031,8672,2025-10-11 06:53:01,0
step_0008,359,112,0,16,production_forecast,TrendyRetail,v3.0,ok,12020,6860,2025-10-12 23:14:31,0
step_0009,730,399,0,21,retail_storefront,LuxDesign,v3.0,ok,12486,8555,2025-10-16 11:48:25,0
step_0010,361,1889,3,33,production_forecast,GlobalFactory,v2.0,ok,10844,9083,2025-09-27 23:52:28,1
step_0011,360,490,0,44,production_forecast,GlobalFactory,v2.0,ok,11344,7359,2025-09-19 15:03:11,0
step_0012,592,904,0,17,designer_collection,LuxDesign,v2.0,watch,12897,9145,2025-10-10 21:42:38,0
step_0013,131,1227,0,35,retail_storefront,EcoWear,v3.0,ok,8701,4477,2025-09-05 17:44:34,0
step_0014,149,159,0,0,designer_collection,TrendyRetail,v2.0,ok,11620,8691,2025-10-14 10:11:46,0
step_0015,337,172,0,9,production_forecast,TrendyRetail,v2.0,watch,9001,6996,2025-10-09 22:42:12,1
step_0016,246,994,0,0,production_forecast,GlobalFactory,v2.0,ok,12511,12273,2025-09-06 04:36:59,1
step_0017,623,979,0,31,production_forecast,TrendyRetail,v2.0,ok,14446,10461,2025-09-18 01:29:56,0
step_0018,264,43,0,45,production_forecast,AcmeFashion,v1.0,ok,6799,5212,2025-10-17 18:09:13,0
step_0019,186,272,0,44,production_forecast,LuxDesign,v1.0,at_risk,13195,9006,2025-10-04 21:19:01,0
step_0020,1394,355,0,8,retail_storefront,TrendyRetail,v2.0,ok,9911,6808,2025-09-13 05:46:25,0
step_0021,426,1236,1,3,designer_collection,GlobalFactory,v1.0,ok,15029,10068,2025-09-03 16:42:14,0
step_0022,524,383,0,5,production_forecast,TrendyRetail,v3.0,ok,11572,10139,2025-09-01 07:34:31,0
step_0023,184,1821,0,6,production_forecast,AcmeFashion,v1.0,watch,13136,8421,2025-09-23 13:57:01,0
step_0024,341,3980,1,0,production_forecast,AcmeFashion,v3.0,breach,10769,9261,2025-10-10 22:50:31,1
step_0025,540,1062,0,0,sustainability_audit,TrendyRetail,v1.0,breach,10095,6936,2025-10-14 04:32:30,0
step_0026,223,768,1,1,production_forecast,AcmeFashion,v1.0,ok,13118,7927,2025-09-13 09:54:40,1
step_0027,650,348,2,0,production_forecast,EcoWear,v3.0,breach,16396,10637,2025-10-19 20:12:59,0
step_0028,328,48,0,0,retail_storefront,LuxDesign,v3.0,ok,8945,5225,2025-10-04 00:22:29,0
step_0029,407,595,0,32,production_forecast,LuxDesign,v1.0,ok,11254,7076,2025-09-06 09:25:37,0
step_0030,328,314,3,27,production_forecast,EcoWear,v1.0,at_risk,9406,4772,2025-10-13 18:26:27,0
step_0031,1828,302,0,47,production_forecast,LuxDesign,v1.0,watch,10474,6211,2025-09-06 12:57:06,0
step_0032,495,814,1,13,designer_collection,AcmeFashion,v2.0,ok,10768,3818,2025-10-03 16:37:00,0
step_0033,238,436,1,16,retail_storefront,TrendyRetail,v2.0,ok,8004,5761,2025-10-11 23:22:14,0
step_0034,889,976,0,0,designer_collection,AcmeFashion,v2.0,breach,13218,8412,2025-09-25 06:12:29,0
step_0035,212,355,2,0,retail_storefront,GlobalFactory,v3.0,ok,10407,6952,2025-09-23 23:06:07,0
step_0036,578,114,1,31,retail_storefront,EcoWear,v3.0,at_risk,8210,4511,2025-10-03 07:37:01,0
step_0037,126,433,0,3,designer_collection,GlobalFactory,v3.0,watch,9204,8481,2025-10-19 20:16:36,0
step_0038,197,2111,0,36,designer_collection,AcmeFashion,v2.0,ok,14082,7033,2025-09-29 10:33:16,0
step_0039,573,1131,0,32,designer_collection,GlobalFactory,v1.0,ok,10813,8971,2025-10-04 09:29:59,0
step_0040,838,161,1,35,retail_storefront,AcmeFashion,v2.0,ok,14486,7783,2025-09-06 21:14:56,0
step_0041,563,347,0,31,designer_collection,AcmeFashion,v3.0,ok,11797,7143,2025-10-02 20:39:14,1
step_0042,461,1839,0,32,production_forecast,AcmeFashion,v1.0,watch,11096,8315,2025-10-11 23:00:09,0
step_0043,404,92,0,22,designer_collection,GlobalFactory,v3.0,ok,11455,10943,2025-09-27 22:20:42,0
step_0044,177,205,0,30,retail_storefront,LuxDesign,v1.0,ok,7179,6193,2025-09-05 05:45:40,1
step_0045,302,212,0,21,production_forecast,GlobalFactory,v2.0,ok,7891,2000,2025-10-08 05:25:57,0
step_0046,362,592,1,1,production_forecast,GlobalFactory,v2.0,ok,14051,10357,2025-09-20 02:36:48,0
step_0047,1047,370,1,2,designer_collection,AcmeFashion,v3.0,ok,15210,9434,2025-09-10 03:45:36,0
step_0048,635,58,0,13,designer_collection,AcmeFashion,v1.0,ok,9637,10342,2025-09-09 20:58:46,1
step_0049,145,694,1,0,designer_collection,AcmeFashion,v1.0,ok,13195,9702,2025-09-12 10:30:07,1
step_0050,627,73,0,44,production_forecast,EcoWear,v2.0,ok,13931,11181,2025-09-29 15:57:15,0
step_0051,381,652,0,5,sustainability_audit,LuxDesign,v3.0,at_risk,7348,3835,2025-09-29 04:06:48,0
step_0052,311,495,0,0,designer_collection,EcoWear,v1.0,breach,11972,6980,2025-09-16 07:31:26,1
step_0053,767,476,0,15,production_forecast,LuxDesign,v2.0,ok,9844,6816,2025-10-10 04:41:02,0
