id,run_id,step_key,type,status,attempt,worker_id,started_at,ended_at,latency_ms,input_json,output_json,error_json
84404541-84be-4802-ad7e-be83b223f0aa,9daa15a8-6ac6-416e-ab61-f18a4fd49cb2,fabric_sim,rendering,retrying,3,w_9,2025-10-10 10:08:44.391242+00:00,,4511,"{""param1"": 5, ""param2"": ""a""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 0""}"
a95e6b59-075c-4e32-87ee-44c398a5f91c,9ba6527b-97b7-4c4d-9b78-d0ac77221f95,fabric_sim,generation,retrying,3,w_18,2025-10-06 02:44:59.889165+00:00,,5275,"{""param1"": 78, ""param2"": ""b""}",,"{""code"": ""DOWNSTREAM_429"", ""message"": ""Error 1""}"
1e455054-6b8f-48d7-a2fe-d38809dffaa2,8403509c-da59-4cb8-af73-793d5aa8d95c,fabric_sim,calculation,running,2,w_11,2025-10-02 21:29:42.921510+00:00,,2656,"{""param1"": 7, ""param2"": ""c""}",,
bd1635ac-f127-4b71-9c33-d768df5a8e09,f2a6a4df-8488-4e67-99fd-be5d93123bd2,ar_tryon,generation,succeeded,1,w_16,2025-10-03 06:31:57.667200+00:00,2025-10-01 14:18:53.411667+00:00,7762,"{""param1"": 53, ""param2"": ""a""}","{""result"": 16}",
06c59790-56a0-4c02-8675-b5cf52359c7b,ba08b2b8-f0e0-43d7-9e14-cc6c4d61162e,trend_pred,prediction,retrying,1,w_19,2025-10-14 21:55:16.554974+00:00,,9834,"{""param1"": 59, ""param2"": ""a""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 4""}"
99d1a82f-af31-49f9-9336-13694a413928,f66a46d0-f89d-437e-976c-73498adecc9d,fabric_sim,rendering,succeeded,3,w_11,2025-10-11 15:08:19.667229+00:00,2025-10-01 13:27:35.973404+00:00,6273,"{""param1"": 95, ""param2"": ""b""}","{""result"": 981}",
5e084180-0983-49a0-a406-82e4ef117dcb,7a2abb47-08f5-40b3-ac06-3fb6c48b5a41,price_calc,simulation,compensating,1,w_18,2025-10-03 18:27:19.795664+00:00,2025-10-01 12:48:03.918425+00:00,9810,"{""param1"": 45, ""param2"": ""a""}","{""result"": 141}",
7370131a-b1c9-41d4-8564-db4a700559e3,d8161dad-222e-468c-9105-8155618ef584,pattern_gen,simulation,running,2,w_11,2025-10-06 21:22:30.481223+00:00,,2169,"{""param1"": 59, ""param2"": ""b""}",,
59c2ba5a-00a0-429c-b23a-b1f78b8aa112,1adab2d3-5aa5-46b0-bc06-2c2682acff3e,pattern_gen,simulation,pending,3,w_4,2025-10-10 06:56:14.538117+00:00,,9443,"{""param1"": 13, ""param2"": ""c""}",,
894f6629-403d-41d9-9996-85e040ea3b63,7e93edd4-db0f-44e6-9046-6c0ee7dfcfd4,pattern_gen,rendering,retrying,3,w_18,2025-10-13 15:27:37.496210+00:00,,9173,"{""param1"": 12, ""param2"": ""b""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 9""}"
60807027-2bda-4689-86ea-ba7a005b7e47,3df32f50-9542-4daa-a303-0b8938c0472b,pattern_gen,calculation,retrying,2,w_19,2025-10-02 07:39:40.549291+00:00,,1301,"{""param1"": 16, ""param2"": ""c""}",,"{""code"": ""TIMEOUT"", ""message"": ""Error 10""}"
31ccdcb8-3699-44ab-9319-f40a35bbce48,ac372e63-e77b-456b-827e-a2e3053dfd14,pattern_gen,rendering,skipped,2,w_13,2025-10-05 04:55:33.806908+00:00,2025-10-01 13:59:02.254060+00:00,2566,"{""param1"": 6, ""param2"": ""b""}",,
8b473c0a-a559-41f1-bcdb-fb0272200514,a26dad8a-efd0-4a79-b50c-235d395faaaf,fabric_sim,rendering,failed,2,w_4,2025-10-14 09:54:01.709570+00:00,2025-10-01 12:41:58.182185+00:00,8816,"{""param1"": 95, ""param2"": ""b""}",,"{""code"": ""TIMEOUT"", ""message"": ""Error 12""}"
99c87024-c7d5-4573-a5fc-c010d53e5537,7d382806-86c9-47dd-b1ec-2cb0f25da6da,trend_pred,simulation,compensating,2,w_10,2025-10-01 23:37:51.231881+00:00,2025-10-01 12:23:43.637009+00:00,3210,"{""param1"": 27, ""param2"": ""a""}","{""result"": 948}",
30b5c72b-5a52-4912-8ad7-9d9b1cf360d5,346f45c2-2099-49aa-8058-dbb71f508ee9,price_calc,rendering,retrying,2,w_5,2025-10-04 12:44:36.551851+00:00,,8230,"{""param1"": 85, ""param2"": ""a""}",,"{""code"": ""TIMEOUT"", ""message"": ""Error 14""}"
ce4d9b86-ce4a-4c03-a5cc-4b1fd1fe9b76,f5075545-d28e-4e5b-bc06-3f122913cf20,ar_tryon,simulation,retrying,2,w_3,2025-10-14 23:01:17.781712+00:00,,9803,"{""param1"": 9, ""param2"": ""a""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 15""}"
8b701b2d-6744-4a96-b88f-225bbae06fe1,5f9456cc-6402-47c9-9879-dbc939eb967b,price_calc,calculation,succeeded,3,w_16,2025-10-10 11:49:09.781234+00:00,2025-10-01 13:41:42.335353+00:00,7588,"{""param1"": 35, ""param2"": ""b""}","{""result"": 620}",
af2d7bac-c6c0-4c64-a40f-17a3dbf3d6c0,eebcd55f-2c42-425e-a174-6b285a6e2fb4,ar_tryon,prediction,succeeded,1,w_8,2025-10-05 15:21:16.177204+00:00,2025-10-01 13:32:00.576933+00:00,2943,"{""param1"": 47, ""param2"": ""a""}","{""result"": 420}",
0d4fef6a-cc0c-47b9-9f07-46cc8e68242f,1f229988-3290-4146-ae6d-5fb875832f03,ar_tryon,simulation,compensating,1,w_7,2025-10-02 14:51:30.840623+00:00,2025-10-01 14:06:34.118518+00:00,9265,"{""param1"": 17, ""param2"": ""c""}","{""result"": 456}",
23404a3e-6658-44c0-9d10-0ff369137546,b673ecdf-e423-45f7-bf9b-8c76f663b701,price_calc,generation,succeeded,3,w_19,2025-10-01 23:17:42.586808+00:00,2025-10-01 14:18:31.029908+00:00,5637,"{""param1"": 88, ""param2"": ""c""}","{""result"": 300}",
c84badfa-3475-45ba-93c8-67e0519eced6,7b7696c0-6611-49bc-a862-31f6cceb6dff,fabric_sim,prediction,succeeded,1,w_14,2025-10-05 02:09:08.614194+00:00,2025-10-01 14:03:26.187154+00:00,9348,"{""param1"": 6, ""param2"": ""a""}","{""result"": 339}",
4609254c-a496-4e88-bec2-4413d288d853,b97bddc9-f202-4ff4-8a16-cda523c9f1ea,pattern_gen,calculation,succeeded,1,w_15,2025-10-14 03:10:14.533248+00:00,2025-10-01 12:08:38.588331+00:00,6385,"{""param1"": 35, ""param2"": ""b""}","{""result"": 303}",
b27beedd-824b-4bad-a110-f10d0c8b6b69,8ba71185-077b-49d2-8c10-431664a43bd0,fabric_sim,prediction,succeeded,3,w_17,2025-10-07 11:33:00.489180+00:00,2025-10-01 13:35:41.396061+00:00,1255,"{""param1"": 37, ""param2"": ""a""}","{""result"": 892}",
ffa94550-b221-4626-95d8-ae8448a45ce9,b4df0f6d-1cc5-4f07-8495-799121b9269d,pattern_gen,simulation,succeeded,1,w_1,2025-10-11 21:21:33.972487+00:00,2025-10-01 13:53:00.088047+00:00,4110,"{""param1"": 25, ""param2"": ""c""}","{""result"": 592}",
0b380498-c509-4dd1-ad67-6c7d5d64b901,12dc0514-9e99-4dfa-aa36-a65797039fa7,trend_pred,calculation,pending,1,w_6,2025-10-14 20:08:45.595229+00:00,,6032,"{""param1"": 1, ""param2"": ""a""}",,
61b4fa6d-a91f-41ea-aae7-e9d5c2b71eec,ab751186-a917-4636-8769-6ac3b630bca3,ar_tryon,generation,retrying,3,w_15,2025-10-07 13:09:01.472466+00:00,,7261,"{""param1"": 35, ""param2"": ""b""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 25""}"
5fa7549f-61e1-4901-a3c7-5d195714567e,9242dc75-c765-4bfc-8251-f54da0d3059f,price_calc,simulation,succeeded,1,w_12,2025-10-04 08:37:15.992631+00:00,2025-10-01 14:21:23.864178+00:00,3417,"{""param1"": 83, ""param2"": ""a""}","{""result"": 76}",
b1cb4252-9141-4d80-9138-23752757ea39,a1c1531b-afbd-41c9-b3e2-0616b63ee54b,trend_pred,simulation,succeeded,2,w_20,2025-10-09 04:58:50.377533+00:00,2025-10-01 12:53:57.073628+00:00,3256,"{""param1"": 52, ""param2"": ""b""}","{""result"": 788}",
c12cfa4a-62b2-4593-9b6e-68623d4e9ad8,79e10ce0-9a8f-4a37-9208-d06c509f3ccb,pattern_gen,calculation,running,3,w_2,2025-10-14 11:54:13.471476+00:00,,3634,"{""param1"": 76, ""param2"": ""c""}",,
1b53df76-1685-4650-be4e-bec7695ca686,a0e6aca8-f358-459b-96e2-9297c1462ff2,fabric_sim,calculation,pending,1,w_5,2025-10-12 19:48:36.978958+00:00,,2891,"{""param1"": 43, ""param2"": ""a""}",,
1de01204-9ef9-40ed-b81f-ae798332000a,8ef82518-dbe5-4af6-9be4-a351a8637cbf,price_calc,prediction,running,1,w_9,2025-10-02 16:06:23.757956+00:00,,4464,"{""param1"": 93, ""param2"": ""b""}",,
9f85ed05-37ec-46a7-b4ee-ef2fc0554957,017dec6d-4726-48c5-a969-189d424f3ccc,ar_tryon,generation,failed,2,w_20,2025-10-11 12:32:53.153394+00:00,2025-10-01 12:24:27.776914+00:00,8426,"{""param1"": 78, ""param2"": ""c""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 31""}"
7550280d-c0e3-4e28-bbde-400fd2a0acf8,ec482b6d-8d3c-439a-b8c2-a277c94f93d2,trend_pred,prediction,pending,3,w_14,2025-10-09 22:12:59.831769+00:00,,2970,"{""param1"": 70, ""param2"": ""a""}",,
10aaa2db-9fa6-48db-834f-3addf79e906e,fd38b414-12cf-47d0-b8d1-2b59021c5adb,ar_tryon,prediction,compensating,3,w_18,2025-10-14 16:08:43.255295+00:00,2025-10-01 14:02:49.341654+00:00,4953,"{""param1"": 36, ""param2"": ""b""}","{""result"": 914}",
98b3185d-ec27-4fa9-be0a-940813a1727c,9091c615-dbac-42d3-a273-704a95fdc00a,pattern_gen,simulation,running,1,w_8,2025-10-03 08:57:45.898799+00:00,,6818,"{""param1"": 54, ""param2"": ""c""}",,
3c4990c2-5954-47f9-9138-ad0e773b18ac,c01c5e8a-7d51-4d82-9c6d-ca30ce955518,ar_tryon,calculation,running,2,w_2,2025-10-09 01:18:08.216660+00:00,,7771,"{""param1"": 25, ""param2"": ""c""}",,
9a2c405e-260c-43ce-a85d-2736ece6f133,dcfebd7e-bb11-4cdb-bc46-1591e2bfd7cd,fabric_sim,simulation,running,2,w_9,2025-10-13 20:23:07.471415+00:00,,7748,"{""param1"": 53, ""param2"": ""c""}",,
8b9194ff-cdd4-429f-a788-9514d657cf7d,768efb48-7487-4dc1-8775-3e05c82a0496,trend_pred,generation,pending,2,w_7,2025-10-07 14:37:41.691280+00:00,,6003,"{""param1"": 98, ""param2"": ""c""}",,
6cb06f1f-1f1c-4292-b11b-aa03c796f81b,ad8870a3-c537-4f46-b258-a4a1a81da768,trend_pred,prediction,retrying,2,w_18,2025-10-08 15:29:31.889007+00:00,,1648,"{""param1"": 48, ""param2"": ""b""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 38""}"
65457bf0-e545-47d7-8aa8-ee8d314dd93d,452c1fbc-4250-4034-a29c-239125747cef,fabric_sim,generation,retrying,2,w_16,2025-10-02 16:35:14.154789+00:00,,9720,"{""param1"": 47, ""param2"": ""c""}",,"{""code"": ""DOWNSTREAM_429"", ""message"": ""Error 39""}"
8579479c-657c-4c24-91c7-8643c5620870,7988288c-85b7-467f-a98e-98aa1d8bd628,ar_tryon,calculation,failed,2,w_5,2025-10-05 14:12:26.525077+00:00,2025-10-01 12:45:42.912665+00:00,3101,"{""param1"": 42, ""param2"": ""b""}",,"{""code"": ""DOWNSTREAM_429"", ""message"": ""Error 40""}"
f5b52649-773d-49e3-86d5-ee6114b7c001,9f222c6f-ac18-4865-a23b-c62354482477,fabric_sim,calculation,running,3,w_15,2025-10-06 12:29:06.282602+00:00,,1418,"{""param1"": 6, ""param2"": ""c""}",,
7843b744-8973-45f9-a30f-2d0dac00f836,bc98da01-6ac4-4436-864f-c5beed1a22f8,price_calc,rendering,running,1,w_5,2025-10-15 04:33:40.747245+00:00,,3352,"{""param1"": 46, ""param2"": ""b""}",,
6a81f2f8-ad53-4b13-b0ce-b77570fc35c4,a4f2c58f-5b43-4e26-9db5-0f03c14292da,fabric_sim,generation,succeeded,1,w_11,2025-10-05 13:46:31.526274+00:00,2025-10-01 13:26:08.464380+00:00,6775,"{""param1"": 81, ""param2"": ""b""}","{""result"": 950}",
3e5368e1-7d2d-492f-98e6-4c9d27bc26df,f69c36f2-f70d-4005-af7f-d2015dfd9937,ar_tryon,simulation,skipped,2,w_14,2025-10-08 08:13:17.712565+00:00,2025-10-01 12:56:08.690763+00:00,9276,"{""param1"": 78, ""param2"": ""b""}",,
d1ff8d8a-c50f-4666-a246-5fee2f07178d,3ff24807-6a93-4a90-ad68-4cc75a7165ef,fabric_sim,generation,running,3,w_19,2025-10-11 05:01:50.487860+00:00,,8691,"{""param1"": 33, ""param2"": ""b""}",,
da84497c-5b30-4ba5-b574-b4c41eecff5f,8d6acb35-ef8a-4d79-9194-46fad1709136,pattern_gen,prediction,failed,3,w_3,2025-10-03 20:20:39.429595+00:00,2025-10-01 12:57:56.098858+00:00,2751,"{""param1"": 62, ""param2"": ""b""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 46""}"
4356a115-125e-402b-9dbe-6aeb920df422,81c0b5a6-d361-495a-8c0b-97fea7c52228,fabric_sim,calculation,succeeded,2,w_10,2025-10-08 11:43:33.220721+00:00,2025-10-01 13:45:28.493100+00:00,3657,"{""param1"": 12, ""param2"": ""b""}","{""result"": 780}",
96731c7c-9f1b-4e99-a13f-44fcda771355,dee2eec5-04d9-4909-bd3e-d1ec46028ed9,fabric_sim,calculation,running,1,w_6,2025-10-11 22:16:43.653214+00:00,,7123,"{""param1"": 96, ""param2"": ""a""}",,
94e2ca1a-2907-43f1-b30c-a6591da1df81,3ff24807-6a93-4a90-ad68-4cc75a7165ef,ar_tryon,generation,succeeded,2,w_3,2025-10-13 18:48:18.806555+00:00,2025-10-01 12:52:03.145083+00:00,6524,"{""param1"": 88, ""param2"": ""b""}","{""result"": 624}",
f1d7cca5-7f31-4af7-a7a3-8b8554fe4181,b23fa996-8637-4ed3-b612-f360c8d66fda,price_calc,generation,pending,3,w_2,2025-10-10 13:48:24.229425+00:00,,3351,"{""param1"": 5, ""param2"": ""c""}",,
08ae039e-e2da-4c8f-9a6f-58b0f266af87,980c863e-4303-487a-9699-b35e0855c40f,price_calc,generation,retrying,2,w_13,2025-10-11 01:18:18.600476+00:00,,9071,"{""param1"": 69, ""param2"": ""c""}",,"{""code"": ""TIMEOUT"", ""message"": ""Error 51""}"
af22c11f-cae4-4035-af50-f5cf425d0ae1,ba012c5b-0782-4283-96c8-26b783bc1438,ar_tryon,prediction,running,1,w_18,2025-10-03 11:09:35.859695+00:00,,2289,"{""param1"": 32, ""param2"": ""a""}",,
fd01d33c-5577-4068-af12-af54195c4863,e15d80fc-2274-4e86-bf9b-f28ef469ce48,ar_tryon,prediction,failed,1,w_2,2025-10-15 00:15:24.014110+00:00,2025-10-01 13:39:48.168976+00:00,3702,"{""param1"": 49, ""param2"": ""a""}",,"{""code"": ""TIMEOUT"", ""message"": ""Error 53""}"
0c60458d-be4b-49ef-ae2e-0d77663f1b57,ce7f7e17-9a6d-4465-ac58-93fd6acca787,ar_tryon,simulation,pending,3,w_15,2025-10-03 09:35:29.686923+00:00,,9835,"{""param1"": 60, ""param2"": ""b""}",,
79db4154-5aff-4d88-a36d-72e598d70fc5,d188467d-156c-42ed-a2e1-eabc08eada01,pattern_gen,generation,skipped,2,w_5,2025-10-12 17:09:20.427736+00:00,2025-10-01 12:02:03.797855+00:00,3905,"{""param1"": 68, ""param2"": ""a""}",,
ee992cc4-04ee-4f31-a504-7562104cca63,f3193aea-7c31-431d-a6d1-cf01bfb94834,trend_pred,simulation,running,2,w_15,2025-10-05 09:47:55.674666+00:00,,5669,"{""param1"": 94, ""param2"": ""a""}",,
4feb5efb-5da6-4d6a-a244-3a607ce7e51d,03e081c1-b7ea-4e9b-8b69-8016d40b2962,fabric_sim,rendering,retrying,3,w_17,2025-10-14 19:27:07.420831+00:00,,3922,"{""param1"": 81, ""param2"": ""c""}",,"{""code"": ""DOWNSTREAM_429"", ""message"": ""Error 57""}"
3a64070c-c842-421d-ae0a-111dce15ee00,dd69e50f-e9a9-4ca2-99b3-8b94da9b2891,ar_tryon,prediction,retrying,2,w_2,2025-10-12 01:35:52.807108+00:00,,7654,"{""param1"": 13, ""param2"": ""b""}",,"{""code"": ""DOWNSTREAM_429"", ""message"": ""Error 58""}"
c62dabc8-5a6b-47ac-8b9b-5b46bb215c27,7b7696c0-6611-49bc-a862-31f6cceb6dff,ar_tryon,calculation,skipped,3,w_18,2025-10-12 05:24:49.716794+00:00,2025-10-01 12:46:44.953450+00:00,3021,"{""param1"": 87, ""param2"": ""c""}",,
da1fb8ee-c9a8-4901-a988-5ab4cf228317,ee0fc957-61d4-4e64-b070-f485e2f45f31,ar_tryon,rendering,succeeded,2,w_15,2025-10-04 21:22:57.033767+00:00,2025-10-01 12:45:56.540431+00:00,4624,"{""param1"": 97, ""param2"": ""c""}","{""result"": 921}",
93ea808e-4dc2-4f9b-8283-6bbf29b2638f,91c0e822-2b07-49f5-9aed-39efb011a1f5,price_calc,calculation,failed,1,w_20,2025-10-07 21:34:17.342245+00:00,2025-10-01 13:47:49.936870+00:00,7344,"{""param1"": 36, ""param2"": ""a""}",,"{""code"": ""WORKER_FAIL"", ""message"": ""Error 61""}"
4728ea16-c097-4352-af46-a01eaba4db5c,3edc7b1e-047d-44fc-8136-487099683fab,ar_tryon,rendering,succeeded,3,w_3,2025-10-10 14:18:59.853622+00:00,2025-10-01 12:45:17.773482+00:00,8778,"{""param1"": 34, ""param2"": ""a""}","{""result"": 316}",
575c217c-92d7-4cd8-aee4-1bdb9162649a,c82cbfc0-ba21-41c3-918d-d39306b02d95,fabric_sim,simulation,running,2,w_5,2025-10-12 16:52:19.959317+00:00,,1136,"{""param1"": 48, ""param2"": ""c""}",,
30a09566-fffc-4351-b7ba-78f04fea8cbd,ac7f0c06-a5df-4f0e-a152-7fe22c66cb85,ar_tryon,simulation,succeeded,2,w_11,2025-10-03 01:49:47.429644+00:00,2025-10-01 13:31:11.946424+00:00,5225,"{""param1"": 91, ""param2"": ""a""}","{""result"": 500}",
5eea6c53-cdf7-42d7-81eb-9058fbeef5e5,c54d1be0-e182-4b50-9e03-6af3b4c3da57,fabric_sim,prediction,running,2,w_9,2025-10-15 07:39:20.501568+00:00,,4140,"{""param1"": 26, ""param2"": ""b""}",,
779f7192-82fb-49e0-8d26-ce38010e1839,f449e610-9f93-47d5-bee5-96a98d183771,pattern_gen,calculation,skipped,3,w_5,2025-10-13 23:53:46.353326+00:00,2025-10-01 13:39:08.850834+00:00,3587,"{""param1"": 96, ""param2"": ""c""}",,
